Creation Time: 2023_5_23-8-44-7
8-44-7 | [INFO] TraderPlusCore - Started !
8-44-7 | [INFO] TraderPlus file exist ! loading...
8-44-7 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
8-44-7 | [INFO] TraderPlus file exist ! loading...
8-44-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
8-44-8 | [INFO] TraderPlus file exist ! loading...
8-44-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
8-44-8 | [INFO] TraderPlus file exist ! loading...
8-44-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
8-44-8 | [INFO] TraderPlus file exist ! loading...
8-44-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusInsuranceConfig.json
8-44-8 | [INFO] TraderPlus file exist ! loading...
8-44-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
8-44-8 | [INFO] TraderPlusServer - Started
8-44-8 | [INFO] TraderPlusBankingCore - Started !
8-44-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.json
8-44-8 | [INFO] TraderPlusBankingServer - Started
8-44-8 | [INFO] CarLockCore - Started !
8-44-8 | [INFO] CarLockServer - Started
8-44-8 | [INFO] SafeZoneCore - Started !
8-44-8 | [INFO] DEBUG MODE ENABLED
8-44-21 | [INFO] RefreshLifeTimeCargo
8-44-22 | [INFO] RefreshLifeTimeCargo
