Creation Time: 2023_5_23-10-41-7
10-41-7 | [INFO] TraderPlusCore - Started !
10-41-7 | [INFO] TraderPlus file exist ! loading...
10-41-7 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
10-41-7 | [INFO] TraderPlus file exist ! loading...
10-41-7 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
10-41-7 | [INFO] TraderPlus file exist ! loading...
10-41-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
10-41-8 | [INFO] TraderPlus file exist ! loading...
10-41-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
10-41-8 | [INFO] TraderPlus file exist ! loading...
10-41-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusInsuranceConfig.json
10-41-8 | [INFO] TraderPlus file exist ! loading...
10-41-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
10-41-8 | [INFO] TraderPlusServer - Started
10-41-8 | [INFO] TraderPlusBankingCore - Started !
10-41-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.json
10-41-8 | [INFO] TraderPlusBankingServer - Started
10-41-8 | [INFO] CarLockCore - Started !
10-41-8 | [INFO] CarLockServer - Started
10-41-8 | [INFO] SafeZoneCore - Started !
10-41-8 | [INFO] DEBUG MODE ENABLED
10-41-20 | [INFO] RefreshLifeTimeCargo
10-41-20 | [INFO] RefreshLifeTimeCargo
