Creation Time: 2023_5_23-10-54-7
10-54-7 | [INFO] TraderPlusCore - Started !
10-54-7 | [INFO] TraderPlus file exist ! loading...
10-54-7 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
10-54-7 | [INFO] TraderPlus file exist ! loading...
10-54-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
10-54-8 | [INFO] TraderPlus file exist ! loading...
10-54-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
10-54-8 | [INFO] TraderPlus file exist ! loading...
10-54-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
10-54-8 | [INFO] TraderPlus file exist ! loading...
10-54-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusInsuranceConfig.json
10-54-8 | [INFO] TraderPlus file exist ! loading...
10-54-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
10-54-9 | [INFO] TraderPlusServer - Started
10-54-9 | [INFO] TraderPlusBankingCore - Started !
10-54-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.json
10-54-9 | [INFO] TraderPlusBankingServer - Started
10-54-9 | [INFO] CarLockCore - Started !
10-54-9 | [INFO] CarLockServer - Started
10-54-9 | [INFO] SafeZoneCore - Started !
10-54-9 | [INFO] DEBUG MODE ENABLED
10-54-21 | [INFO] RefreshLifeTimeCargo
10-54-21 | [INFO] RefreshLifeTimeCargo
